NUMCPT,NOMCLI,TYPE_CLIENT,SECTEUR_CLIENT,CONSOLIDATION_CLIENT,CODAME,CODGVR,SERVICE_TYPE
211551,TUNISIE SUCRE P A E B ZONE FRANCHE DE BIZERTE,GENERAL,INDUSTRIE,TUNISIE SUCRE P A E B,"INDUSTRIES SUCRE,CONFISERIE,CHOCOLATERIE",,
211561,"LA BRIQUE MODERNE DE BENI KHIAR ""B.M.B."" RTE DE SOMAA KM 3 BENI KHIAR",GENERAL,INDUSTRIE,"LA BRIQUE MODERNE DE BENI KHIAR ""B.M.B.""",EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
211571,GROUPE CHIMIQUE TUNISIEN UNITE D'EMBARQUEMENT SFAX BP 393 SFAX,GENERAL,INDUSTRIE,"""G.C.T.""",FABRICATION D'ENGRAIE HEXENORE DRT TIMBRE,,
211591,L A C E R A M I C RUE 101 IMM. ASTREE ETAGE 1 BERGES DU LAC,GENERAL,INDUSTRIE,L A C E R A M I C,INDUSTRIE DE LA CERAMIQUE,,
211871,STE EL ALIA ROUTE MENZEL CHAKER KM 40,GENERAL,INDUSTRIE,STE EL ALIA,BATIMENT ET TRAVAUX PUBLICS,,
211641,MARTELLI ET GONSER TUNISIA ZONE IND.MENZEL JEMIL BIZERTE,GENERAL,INDUSTRIE,MARTELLI ET GONSER TUNISIA,AUTRES INDUSTRIES TEXTILES,,
211741,SOCIETE LES CARRIERES DE MESTAWA OUED EL GHAR TATAOUINE,GENERAL,INDUSTRIE,SOCIETE LES CARRIERES DE MESTAWA,MINES,,
211751,"SOCIETE TUNISIENNE DES HYDRAULIANTS ""STHL"" ROUTE SMAR TATAOUINE",GENERAL,INDUSTRIE,"SOCIETE TUNISIENNE DES HYDRAULIANTS ""STHL""",AUTRES INDUSTRIES CHIMIQUES,,
211791,SOCIETE BRIQUETERIE BELMABROUK SAIDANE KEBILI,GENERAL,INDUSTRIE,SOCIETE BRIQUETERIE BELMABROUK SAIDANE,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
211811,"INDUSTRIE BRIQUES ZAGHOUAN ""I . B . Z . A "" ROUTE DE ZAGHOUAN ZRIBA",GENERAL,INDUSTRIE,"INDUSTRIE BRIQUES ZAGHOUAN ""I . B . Z . A """,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
211971,M E D C O - VENTURES INTERNATIONAL - CONCESSION BIR BEN TARTAR RESIDENCE ECHBILIA A BERGES DU LAC 2,GENERAL,INDUSTRIE,M E D C O - VENTURES INTERNATIONAL -,"ACTIVITES CONSEIL,REPARATION ET ENTRETIEN",,
212221,PROGECI TRAVAUX 11 RUE D'AUTRICHE BELVEDERE TUNIS,GENERAL,INDUSTRIE,PROGECI TRAVAUX,BATIMENT ET TRAVAUX PUBLICS,,
212381,SOCIETE GHARBI ET FILS BP N=140 Z.I NABEUL,GENERAL,INDUSTRIE,SOCIETE GHARBI ET FILS,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
212391,BRIQUETERIE BEN SEDRINE HEDI Z.I NABEUL,GENERAL,INDUSTRIE,BRIQUETERIE BEN SEDRINE HEDI,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
212421,SOCIETE MEGDICH PHARMA 11 RUE D' ALGER TUNIS,GENERAL,INDUSTRIE,SOCIETE MEGDICH PHARMA,AUTRES INDUSTRIES CHIMIQUES,,
212481,SOCIETE MILA ROUTE DE NAASSEN Z.I BIR EL KASSAA,GENERAL,INDUSTRIE,SOCIETE MILA,AUTRES INDUSTRIES TEXTILES,,
212501,ALMIA REFRIGERATION Z.I MENZEL JEMIL BIZERTE,GENERAL,INDUSTRIE,ALMIA REFRIGERATION,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES,,
212521,SOTUALCO 29 RUE FARES EL KHOURY TUNIS,GENERAL,INDUSTRIE,SOTUALCO,"INDUSTRIES SUCRE,CONFISERIE,CHOCOLATERIE",,
212591,"ZNAIDI INDUSTRIE ALIMENTAIRE ""ZINA"" 96 AV ALI BELHOUENE KELIBIA",GENERAL,INDUSTRIE,"ZNAIDI INDUSTRIE ALIMENTAIRE ""ZINA""",CONSERVERIES,,
212651,"BRIQUETERIE MODERNE DE GROMBALIA ""BMG"" RUE 13002 Z.I KSAR SAID N:14",GENERAL,INDUSTRIE,"BRIQUETERIE MODERNE DE GROMBALIA ""BMG""",EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
212731,SOCIETE NOUVELLES BRIQUES Z.I BENI KHIAR,GENERAL,INDUSTRIE,SOCIETE NOUVELLES BRIQUES,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
212791,BRIQUETERIE OUNAISSA ABDELKERIM ROUTE DE SOMAA BENI KHIAR,GENERAL,INDUSTRIE,BRIQUETERIE OUNAISSA ABDELKERIM,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
212811,CONFISERIE BETTAIEB,GENERAL,INDUSTRIE,CONFISERIE BETTAIEB,"INDUSTRIES SUCRE,CONFISERIE,CHOCOLATERIE",,
212851,"SOCIETE TUNISIENNE DES BOISSONS GAZEUSES ""STBG"" AVENUE TAIEB MHIRI MEGRINE RIADH",GENERAL,INDUSTRIE,"SOCIETE TUNISIENNE DES BOISSONS GAZEUSES ""STBG""",INDUSTRIES DES BOISSONS,,
212861,"COOPERATIVE DE MOTOCULTURE DE TUNISIE ""MOTOCOP"" 24 RUE DE GUINEE BELVEDERE TUNIS",GENERAL,INDUSTRIE,"COOPERATIVE DE MOTOCULTURE DE TUNISIE ""MOTOCOP""",PECHE,,
212901,SOCIETE ZARIAT ET FILS ZONE INDUSTRIELLE BENI KHIAR,GENERAL,INDUSTRIE,SOCIETE ZARIAT ET FILS,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
212971,"SOCIETE TUNISIENNE DE BOISSONS GAZEUSES ""STBG"" AVENUE TAIEB MHIRI MEGRINE ERRIADH",GENERAL,INDUSTRIE,"SOCIETE TUNISIENNE DES BOISSONS GAZEUSES ""STBG""",INDUSTRIES DES BOISSONS,,
213001,BRIQUETERIE ALI GACEM ZONE INDUSTRIELLE NABEUL,GENERAL,INDUSTRIE,BRIQUETERIE ALI GACEM,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
213031,"SOCIETE MONTAGE ET SERVICES ""SMS"" 667 CITE BEHI LADGHAM IMM 44 BORJ LOUZIR",GENERAL,INDUSTRIE,"SOCIETE MONTAGE ET SERVICES ""SMS""",AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES,,
213031,"SOCIETE MONTAGE ET SERVICES ""SMS"" ROUTE EL HAMMA KM 4 BOUCHEMMA",GENERAL,INDUSTRIE,"SOCIETE MONTAGE ET SERVICES ""SMS""",AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES,,
213081,"SOCIETE ENTREPRISE DALI ""S.E.D."" RUE LAC TANJA IMM.MAGHREBIA BERGES DU LAC",GENERAL,INDUSTRIE,"SOCIETE ENTREPRISE DALI ""S.E.D.""",BATIMENT ET TRAVAUX PUBLICS,,
213131,M. G. I. COUTIER TUNISIE Z.I.ENNASR ROUTE DE TABARKA MATEUR,GENERAL,INDUSTRIE,M. G. I. COUTIER TUNISIE,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES,,
213141,BRIQUETERIE ABDERRAZAK ZARIAT Z.I.RTE SOMAA BENI KHIAR,GENERAL,INDUSTRIE,BRIQUETERIE ABDERRAZAK ZARIAT,IND.DU CIMEMT ET OUVRAGE EN CIMENT,,
213151,J.T INTERNATIONAL TUNISIA CENTRED'AFFAIRE REGUS RUE LAC CONSTANCE BERGE,GENERAL,INDUSTRIE,J.T INTERNATIONAL TUNISIA CENTRED'AFFAIRE REGUS,AUTRES INDUSTRIES DIVERSES,,
213191,"SOCIETE CENTRALE DES CARRIERES ""SCC"" 158 RUE BAB SOUIKA TUNIS",GENERAL,INDUSTRIE,"SOCIETE CENTRALE DES CARRIERES ""SCC""",EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
213231,BOUCHAMAOUI A-R INDUSTRIES S.A 55 RUE 8600 Z.I CHARGUIA 1 TUNIS AEROPORT,GENERAL,INDUSTRIE,BOUCHAMAOUI A-R INDUSTRIES,BATIMENT ET TRAVAUX PUBLICS,,
213351,"STE LES TRICOTAGES MODERNES ""SOTRIMO "" 12 RUE 13003 Z.I.KSAR SAID",GENERAL,INDUSTRIE,"STE LES TRICOTAGES MODERNES ""SOTRIMO """,AUTRES INDUSTRIES TEXTILES,,
213391,"STE IND. COMMER.EAUX ET BOISSONS ""S.I.C.O.B"" RUE DE LA POSTE SIDI BOUZID",GENERAL,INDUSTRIE,"STE IND. COMMER.EAUX ET BOISSONS ""S.I.C.O.B""",COMMERCE,,
213601,"AFRICAINE DES ENCRES ET PEINTURES ""AFREN"" RUE CONGOU SIDI FATHALLAH",GENERAL,INDUSTRIE,"AFRICAINE DES ENCRES ET PEINTURES ""AFREN""",AUTRES INDUSTRIES CHIMIQUES,,
213652,SOCIETE SOCABS,GENERAL,INDUSTRIE,SOCIETE SOCABS,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
213711,TUNISIE TAPE Z.I.POUDRIERE 2 SFAX,GENERAL,INDUSTRIE,TUNISIE TAPE,AUTRES INDUSTRIES CHIMIQUES,,
213821,"GENERALE INDUSTRIELLE DES PRODUITS ALIMENTAIRE ""G I P A "" GR. POULINA RTE SOUSSE KM 25 BP 71 FONDOUK JEDID",GENERAL,INDUSTRIE,"GENERALE INDUSTRIELLE DES PRODUITS ALIMENTAIRE ""G I P A "" GR. POULINA",AUTRES INDUSTRIES ALIMENTAIRES,,
213822,"GENERALE INDUSTRIELLE DES PRODUITS ALIMENTAIRE ""G I P A "" GR. POULINA RTE SOUSSE KM 25 BP 71 FONDOUK JEDID",GENERAL,INDUSTRIE,"GENERALE INDUSTRIELLE DES PRODUITS ALIMENTAIRE ""G I P A "" GR. POULINA",AUTRES INDUSTRIES ALIMENTAIRES,,
213931,MARZOUGUI RIDHA 7 RUE HRAIRIA CITE ESSALAMA ARIANA,GENERAL,INDUSTRIE,MARZOUGUI RIDHA,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
213971,PERENCO TUNISIA SA RUE DU LAC BIWA IMM HENTATI LES BERGES DU LAC,GENERAL,INDUSTRIE,PERENCO TUNISIA,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
213973,PERENCO TUNISIA SA RUE DU LAC BIWA IMM HENTATI LES BERGES DU LAC,GENERAL,INDUSTRIE,PERENCO TUNISIA,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
214021,TUNISIE TRANSFORMATEURS S.A. RTE MATEUR KM 11 OUED ELLIL,GENERAL,INDUSTRIE,TUNISIE TRANSFORMATEURS,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES,,
214031,DUALEX TUNISIA INC RUE CONSTANCE IMM. CARTHAGE CENTRE LES BERGES DU LAC,GENERAL,INDUSTRIE,DUALEX TUNISIA INC,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
214071,S O P R A S U D 483 IMM. CRISTAL PALACE BERGES DU LAC,GENERAL,INDUSTRIE,S O P R A S U D,ACTIVITES AUXILIERES AU TRANSPORT,,
214081,"SOCIETE REGIONALE DES INDUSTRIES LAITIERES ""S.O.R.I.L"" ROUTE DE GABES KOUTINE MEDENINE",GENERAL,INDUSTRIE,"SOCIETE REGIONALE DES INDUSTRIES LAITIERES ""S.O.R.I.L""",AUTRES INDUSTRIES ALIMENTAIRES,,
214121,B A M I RTE JEMMEL ZERAMDINE,GENERAL,INDUSTRIE,B A M I,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
214122,B A M I RTE JEMMEL ZERAMDINE,GENERAL,INDUSTRIE,B A M I,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
214131,"LES PRODUITS SPECIAUX ALI M'HENNI""PROSAMI"" RTE JEMMEL ZERAMDINE",GENERAL,INDUSTRIE,"LES PRODUITS SPECIAUX ALI M'HENNI""PROSAMI""",EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
214221,MANUFACTURE DE KSAR SAID 30 RUE TISSAGE Z.I.KSAR SAID,GENERAL,INDUSTRIE,MANUFACTURE DE KSAR SAID,FILATURE ET TISSAGE,,
214381,BRIQUETERIE M'RIZEK AHMED RTE DE SOUSSE,GENERAL,INDUSTRIE,BRIQUETERIE M'RIZEK AHMED,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
214531,C G G VERITAS SERVICE (TUNISIE) 1 RUE RYADH MUTUELLEVILLE TUNIS MAHRAJENE,GENERAL,INDUSTRIE,C G G VERITAS SERVICE (TUNISIE),EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
214581,SOCIETE MANAR THON KM 6 ROUTE DE DJERBA ZARZIS,GENERAL,INDUSTRIE,SOCIETE MANAR THON,CONSERVERIES,,
214601,SOCIETE EL HANA RUE FARHAT HACHED MAHDIA,GENERAL,INDUSTRIE,SOCIETE EL HANA,PECHE,,
214641,S A N I F O O D S.A. ROUTE DE TUNIS Z.I. EL FAHS,GENERAL,INDUSTRIE,S A N I F O O D S.A.,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
214781,"COMPAGNIE TUNISO-KOWEITO-CHINOISE DE PETROLE "" CTKCP"" IMM ESPACE AZIZ BLOC B RUE 8366 CITE ENNACIM",GENERAL,INDUSTRIE,"COMPAGNIE TUNISO-KOWEITO-CHINOISE DE PETROLE "" CTKCP""",EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
214831,"COMPAGNIE MEDITERRANEENNE DE REPARATION ""CMR TUNISIE TUE DU LAC MALAREN IMM BADR LES BERGES DU LAC",GENERAL,INDUSTRIE,"COMPAGNIE MEDITERRANEENNE DE REPARATION ""CMR",AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES,,
214901,"COOPERATIVE AGRICOLE ET INDUSTRIELLE ""ZOUILA"" 8 AV.FARHAT HACHED MAHDIA",GENERAL,INDUSTRIE,"COOPERATIVE AGRICOLE ET INDUSTRIELLE ""ZOUILA""",FABRICATION D'HUILE ET DES CORPS GRAS,,
214921,SOMAPROC STE MERIEM DE PRODUITS CHIMIQUE MAHDIA K 10 S EDDAYER SFAX,GENERAL,INDUSTRIE,SOMAPROC,AUTRES INDUSTRIES CHIMIQUES,,
214931,STE EL IZDIHAR DE BATIMENT RTE DE LA CEINTURE ZAOUIET SOUSSE,GENERAL,INDUSTRIE,STE EL IZDIHAR DE BATIMENT,BATIMENT ET TRAVAUX PUBLICS,,
215111,"SOCIETE TUNISIENNE DES TRAVAUX DU NORD ""SOTTNORD"" Z.I. KM 1 RTE AIN DRAHAM TABARKA",GENERAL,INDUSTRIE,"SOCIETE TUNISIENNE DES TRAVAUX DU NORD ""SOTTNORD""",BATIMENT ET TRAVAUX PUBLICS,,
215161,A C O S E R V RESIDENCE LES JASMINS APP A 52,GENERAL,INDUSTRIE,A C O S E R V,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
215161,A C O S E R V RTE DE TUNIS KM 1.5 SFAX,GENERAL,INDUSTRIE,A C O S E R V,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
215281,GROUPEMENT GIE TODINI EHTP RUE DES BAYATINE BORJINE,GENERAL,INDUSTRIE,GROUPEMENT GIE TODINI EHTP,BATIMENT ET TRAVAUX PUBLICS,,
215291,SEGOR S.A. 26 RUE AMINE EL ABASSI TUNIS BELVEDERE,GENERAL,INDUSTRIE,SEGOR,AUTRES INDUSTRIES DIVERSES,,
215461,ENTREPRISE BOUGUILA SERVICES 1 RUE DR ABDERRAHMEN MEMI,GENERAL,INDUSTRIE,ENTREPRISE BOUGUILA SERVICES,BATIMENT ET TRAVAUX PUBLICS,,
215462,ENTREPRISE BOUGUILA SERVICES 1 RUE DR ABDERRAHMEN MEMI,GENERAL,INDUSTRIE,ENTREPRISE BOUGUILA SERVICES,BATIMENT ET TRAVAUX PUBLICS,,
215531,SOCIETE BIZERTE MANUFACTURE RUE ZOGHBA EL ALIA,GENERAL,INDUSTRIE,SOCIETE BIZERTE MANUFACTURE,AUTRES INDUSTRIES TEXTILES,,
215571,"SOCIETE KHELIL DE LA POTERIE ""S.K.E.P.O.T"" EZZITOUNA KSOUR",GENERAL,INDUSTRIE,"SOCIETE KHELIL DE LA POTERIE ""S.K.E.P.O.T""",EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
215581,"INDUSTRIES DES BRIQUES DU NORD ""I.B.N"" EL MARGUAZINE",GENERAL,INDUSTRIE,"INDUSTRIES DES BRIQUES DU NORD ""I.B.N""",EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
215621,"SOCIETE D'INDUSTRIE &D'EMBALLAGE PLASTIQUE ""SINEPLAST"" IMMEUBLE EL JAZIRA MONTPLAISIR TUNIS",GENERAL,INDUSTRIE,"SOCIETE D'INDUSTRIE &D'EMBALLAGE PLASTIQUE ""SINEPLAST""",FABRI.DE PRODUIT EN MATIERE PLASTIQUE,,
215651,CHIMICOULEURS DEPARTEMENT EMBALLAGE KM 9 DE DE MORNAG BEN AROUS,GENERAL,INDUSTRIE,CHIMIE COULEURS,AUTRES INDUSTRIES CHIMIQUES,,
215721,MED NEJIB ET SAMIR GHADDHAB RTE DE JEMMEL MOKNINE,GENERAL,INDUSTRIE,MED NEJIB ET SAMIR GHADDHAB,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
215981,SOCIETE SAN MARCO RUE 18 JANVIER 1952 SIDI THABET,GENERAL,INDUSTRIE,SOCIETE SAN MARCO,AUTRES INDUSTRIES TEXTILES,,
216011,SOCIETE GOLF BETON Z. I. GHANNOUCH GABES,GENERAL,INDUSTRIE,SOCIETE GOLF BETON,BATIMENT ET TRAVAUX PUBLICS,,
216091,BLUE & DYE SARL RUE DE LA CHIMIE Z.I GROMBALIA,GENERAL,INDUSTRIE,BLUE & DYE SARL,AUTRES INDUSTRIES TEXTILES,,
216121,SOCIETE EL HORRYA PRODUCTION D' EAU MINERALE 29 RUE MOHAMED ALI SIDI BOUZID,GENERAL,INDUSTRIE,SOCIETE EL HORRYA,PRODUCTION ET DISTRIBUTION D'EAU,,
216151,"LES ALIMENTS DU CENTRE "" TAHAR TLILI "" ZONE INDUSTRIELLE SIDI BOUZID",GENERAL,INDUSTRIE,"LES ALIMENTS DU CENTRE "" TAHAR TLILI """,AUTRES INDUSTRIES ALIMENTAIRES,,
216481,"SOCIETE DE L'AIR COMPRIME ET DU MATERIEL INDUSTRIEL ""S A C M I "" Z.I.AEROPORT BP 293 TUNIS CEDEX",GENERAL,INDUSTRIE,"SOCIETE DE L'AIR COMPRIME ET DU MATERIEL INDUSTRIEL ""S A C M I """,COMMERCE,,
216491,"BRIQUETERIE DU CENTRE MENZEL HAYET ""B.C.M."" Z.I.TEBOULBA (CHEZ SOTUFILD)",GENERAL,INDUSTRIE,"BRIQUETERIE DU CENTRE MENZEL HAYET ""B.C.M.""",EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
216581,STORM VENTURES INTERNATIONAL INC 401 LAC LEMAN IMMEUBLE REGENCY BERGES DU LAC,GENERAL,INDUSTRIE,STORM,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
216582,STORM VENTURES INTERNATIONAL INC 401 LAC LEMAN IMMEUBLE REGENCY BERGES DU LAC,GENERAL,INDUSTRIE,STORM,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
216582,STORM VENTURES INTERNATIONAL INC IMM HENDA LOT 2/14/4 LOT.LES JARDINS DU LAC,GENERAL,INDUSTRIE,STORM,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
216751,INDUSTRIES ALIMENTAIRES DE TUNISIE RTE KHELIDIA NAASEN,GENERAL,INDUSTRIE,INDUSTRIES ALIMENTAIRES DE TUNISIE,AUTRES INDUSTRIES ALIMENTAIRES,,
216761,C O M E C A B BP 122 Z. I. RADES,GENERAL,INDUSTRIE,C O M E C A B,"SIDER.METALLUR.DES NON FERREUX,FONDERIE",,
216791,S E L T M A R I N E GROUPE Z.I.BIR KASSAA BP 937,GENERAL,INDUSTRIE,S E L T M A R I N E GROUPE,AUTRES INDUSTRIES ALIMENTAIRES,,
216881,"SOCIETE NOUVELLE D'INDUSTRIE METALLIQUE "" SONIM "" AV.DES TEXTILES Z.I. SIDI REZIG",GENERAL,INDUSTRIE,"SOCIETE NOUVELLE D'INDUSTRIE METALLIQUE "" SONIM ""","SIDER.METALLUR.DES NON FERREUX,FONDERIE",,
216971,S O S T E M 5 RUE TOURCOING,GENERAL,INDUSTRIE,S O S T E M,INDUSTRIES DES BOISSONS,,
216971,S O S T E M BOULEVARD DE LA TERRE BP 1340 CENTRE URB.NORD,GENERAL,INDUSTRIE,S O S T E M,INDUSTRIES DES BOISSONS,,
218361,S M A T C H SARL ZONE IND. KALAA SGHIRA (A COTE ONAS),GENERAL,INDUSTRIE,S M A T C H SARL,AUTRES INDUSTRIES TEXTILES,,
218481,"BRIQUETERIE JEMMEL ""B.J."" Z.I. JEMMEL RTE DE ZARAMDINE JEMMEL",GENERAL,INDUSTRIE,"BRIQUETERIE JEMMEL ""B.J.""",EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
218511,BRITISH GAZ TUNISIA ROUTE GABES KM 21 BP 256 PM NAKTA,GENERAL,INDUSTRIE,BRITISH GAZ TUNISIA,AUTRES INDUSTRIES TEXTILES,,
218521,BITUMES DU CENTRE SARL RTE DE SOUSSE GP1 KM 13 EZZAHRA,GENERAL,INDUSTRIE,BITUMES DU CENTRE,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
218541,S O D E P S 10 AV TAHAR BEN ACHOUR MUTUELLEVILLE TUNIS,GENERAL,INDUSTRIE,S O D E P S,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
218543,S O D E P S 10 AV TAHAR BEN ACHOUR MUTUELLEVILLE TUNIS,GENERAL,INDUSTRIE,S O D E P S,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
218544,S O D E P S 10 AV TAHAR BEN ACHOUR MUTUELLEVILLE TUNIS,GENERAL,INDUSTRIE,S O D E P S,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
218661,M. B. G. GALVANISATION Z.I.GROMBALIA,GENERAL,INDUSTRIE,M. B. G. GALVANISATION,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES,,
218681,SOL- EMBALLAGE S.A IMM EL JAZIRA LOTISSEMENT ENNACIM MONTPLAISIR,GENERAL,INDUSTRIE,SOL- EMBALLAGE,FAB.DU PAPIER DE L'IMPRIMERIE ET EDITION,,
218831,SOCIETE TACALU ZONE INDUSTRIELLE MENZEL JEMIL,GENERAL,INDUSTRIE,SOCIETE TACALU,BATIMENT ET TRAVAUX PUBLICS,,
218861,"SOCIETE LES INDUSTRIES METALLIQUES DU CENTRE ""IMC""",GENERAL,INDUSTRIE,"SOCIETE LES INDUSTRIES METALLIQUES DU CENTRE ""IMC""","SIDER.METALLUR.DES NON FERREUX,FONDERIE",,
219451,"SOCIETE TUNISIENNE DES INDUSTRIES CIMENTERIES ""CIOK"" CIOK BP 94 LE KEF",GENERAL,INDUSTRIE,"SOCIETE TUNISIENNE DES INDUSTRIES CIMENTERIES ""CIOK""",IND.DU CIMEMT ET OUVRAGE EN CIMENT,,
219541,SOCOMENIN AV M.H KHEFACHA SFAX,GENERAL,INDUSTRIE,SOCOMENIN,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES,,
219811,"SOCIETE EL HOURIA DE PRODUCTION D,EAU MINERALE 29 RUE MOHAMED ALI SIDI BOUZID",GENERAL,INDUSTRIE,SOCIETE EL HORRYA,PRODUCTION ET DISTRIBUTION D'EAU,,
220181,LA CHIMIQUE DE TUNISIE Z.I BEN AROUS,GENERAL,INDUSTRIE,LA CHIMIQUE DE TUNISIE,AUTRES INDUSTRIES CHIMIQUES,,
220361,STE BORNI CONTRACTING SKHIRA,GENERAL,INDUSTRIE,STE BORNI CONTRACTING,BATIMENT ET TRAVAUX PUBLICS,,
220521,INDUSTRIE PHARMACEUTIQUE SAID Z.I.DJEBEL EL OUEST,GENERAL,INDUSTRIE,INDUSTRIE PHARMACEUTIQUE SAID,AUTRES INDUSTRIES CHIMIQUES,,
220551,S T A E M SARL 4 RUE BORJ BOURGUIBA TUNIS,GENERAL,INDUSTRIE,S T A E M SARL,COMMERCE,,
220591,SOCIETE MODERNE DES CUIRS ET PEAUX RTE DE GABES PISTE SIDI SALEM,GENERAL,INDUSTRIE,SOCIETE MODERNE DES CUIRS ET PEAUX,INDUSTRIE DU CUIVRE ET DE LA CHAUSSURE,,
220631,EXTRA BRIQUE LA ROUTE NATIONALE N0 16 KM38 GABES,GENERAL,INDUSTRIE,EXTRA BRIQUE,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
220632,EXTRA BRIQUE LA ROUTE NATIONALE N0 16 KM38 GABES,GENERAL,INDUSTRIE,EXTRA BRIQUE,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
220651,"SOCIETE TOUT VA MIEUX CITE JARDIN 2 N0 9 RTE DE GABES KM5,5 KSASS",GENERAL,INDUSTRIE,SOCIETE TOUT VA MIEUX,AUTRES INDUSTRIES TEXTILES,,
220661,H A L P E R TUNISIE 7 RUE IMAM SAHNOUN EL MIDA,GENERAL,INDUSTRIE,H A L P E R,AUTRES INDUSTRIES CHIMIQUES,,
220711,"ENTREPRISE GENERALE D'EQUIPEMENT ET DE TRAVAUX ""E.G.E.T"" RUE BECHIR M'HADHBI SFAX",GENERAL,INDUSTRIE,"ENTREPRISE GENERALE D'EQUIPEMENT ET DE TRAVAUX ""E.G.E.T""",BATIMENT ET TRAVAUX PUBLICS,,
220721,EXPLOITATION CARRIERES TUNISIE SARL BLOC G N)32 RESIDENCE DU LAC LES BERGES DU LC,GENERAL,INDUSTRIE,EXPLOITATION CARRIERES TUNISIE SARL,EXTRACT.ET FACONNAGE DES PROD.CARRIERES,,
220731,"SOCIETE ESSAYEH SARL ""PERLE DU CENTRE"" BP 71 SIDI BOUZID",GENERAL,INDUSTRIE,"SOCIETE ESSAYEH SARL ""PERLE DU CENTRE""",CONSERVERIES,,
220741,"SOCIETE BORJ ESSAYEH SARL ""FERHA"" EL HICHERIA SIDI BOUZID",GENERAL,INDUSTRIE,"SOCIETE BORJ ESSAYEH SARL ""FERHA""",CONSERVERIES,,
221061,D R I L L S T O N E TUNISIE,GENERAL,INDUSTRIE,D R I L L S T O N E,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
221441,CARTHAGE POWER COMPANY SARL CENTRALE ELECTRIQUE RADES 2 ZONE PORTUAIRE RS,GENERAL,INDUSTRIE,CARTHAGE POWER COMPANY,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ,,
221551,"SOCIETE PRODUITS CHIMIQUE ET MATERIELSINDUSTRIELS""PROCHIMAT"" 80 AV LOUIS BRAILLE BELVEDERE TUNIS",GENERAL,INDUSTRIE,"SOCIETE PRODUITS CHIMIQUE ET MATERIELSINDUSTRIELS""PROCHIMAT""",COMMERCE,,
221571,C H O COMPANY ROUTE MAHDIA KM10 SFAX,GENERAL,INDUSTRIE,C H O COMPANY,FABRICATION D'HUILE ET DES CORPS GRAS,,
221651,"SOCIETE AFRICAINE DE PEINTURE ""PLANET"" Z.I POUDRIERE SFAX",GENERAL,INDUSTRIE,"SOCIETE AFRICAINE DE PEINTURE ""PLANET""",AUTRES INDUSTRIES CHIMIQUES,,
